name,key,site,event_id,src_frame,score
SHB__NShelbyRdblue_v1_LS_f6354.png,SHB__NShelbyRdblue_v1_LS,SHB,10,6354,43.4
TON__GiantCityRd_v1_LS_f11790.png,TON__GiantCityRd_v1_LS,TON,34,11790,43.3
SHW__NIron_v1_LS_f5136.png,SHW__NIron_v1_LS,SHW,13,5136,43.2
MAS__WMarseilles_v1_LS_f1644.png,MAS__WMarseilles_v1_LS,MAS,0,1644,42.8
SHB__GolfDr_v1_LS_f8406.png,SHB__GolfDr_v1_LS,SHB,10,8406,42.7
SHB__RedFoxLn_v1_LS_f594.png,SHB__RedFoxLn_v1_LS,SHB,1,594,42.4
SHB__WolfCreekRd_v1_LS_f2118.png,SHB__WolfCreekRd_v1_LS,SHB,4,2118,42.2
SHW__SHog_v1_LS_f10902.png,SHW__SHog_v1_LS,SHW,13,10902,42.2
SHB__EagleCreekDrEtc_v1_LS_f3426.png,SHB__EagleCreekDrEtc_v1_LS,SHB,8,3426,42.1
SHB__RedFoxLn_v1_LS_f21618.png,SHB__RedFoxLn_v1_LS,SHB,35,21618,42.0
MAS__N2379Rd_v2_LS_f9570.png,MAS__N2379Rd_v2_LS,MAS,24,9570,41.9
MAS__WMarseilles_v2_LS_f25866.png,MAS__WMarseilles_v2_LS,MAS,25,25866,41.9
SHB__NShelbyRdblue_v1_LS_f1686.png,SHB__NShelbyRdblue_v1_LS,SHB,3,1686,41.9
MAS__N25thRdBlue_v1_LS_f11622.png,MAS__N25thRdBlue_v1_LS,MAS,8,11622,41.8
MAS__N2379Rd_v2_LS_f12132.png,MAS__N2379Rd_v2_LS,MAS,25,12132,41.8
SHW__SBassett_v1_LS_f16452.png,SHW__SBassett_v1_LS,SHW,27,16452,41.8
MAS__N25thBlue_v2_LS_f4194.png,MAS__N25thBlue_v2_LS,MAS,3,4194,41.6
SHB__RedFoxLn_v1_LS_f30486.png,SHB__RedFoxLn_v1_LS,SHB,53,30486,41.6
SHB__RedFoxLn_v1_LS_f45006.png,SHB__RedFoxLn_v1_LS,SHB,65,45006,41.6
SHB__NWolfCreekblue_v1_LS_f32706.png,SHB__NWolfCreekblue_v1_LS,SHB,80,32706,41.5
SHW__NBassett_v1_LS_f2058.png,SHW__NBassett_v1_LS,SHW,4,2058,41.5
SHW__SBassett_v1_LS_f19878.png,SHW__SBassett_v1_LS,SHW,31,19878,41.5
SHW__SHog_v1_LS_f13128.png,SHW__SHog_v1_LS,SHW,16,13128,41.3
SHW__SIron_v1_LS_f8898.png,SHW__SIron_v1_LS,SHW,8,8898,41.3
MAS__WMarseilles_v2_LS_f9972.png,MAS__WMarseilles_v2_LS,MAS,18,9972,41.2
SHB__NWolfCreekblue_v1_LS_f18792.png,SHB__NWolfCreekblue_v1_LS,SHB,45,18792,41.2
SHW__SBassett_v1_LS_f14808.png,SHW__SBassett_v1_LS,SHW,24,14808,41.1
MAS__N25thRdOrange_v1_LS_f5652.png,MAS__N25thRdOrange_v1_LS,MAS,7,5652,40.8
MAS__WMarseilles_v1_LS_f19956.png,MAS__WMarseilles_v1_LS,MAS,36,19956,40.7
SHB__EagleCreekDrEtc_v1_LS_f8490.png,SHB__EagleCreekDrEtc_v1_LS,SHB,15,8490,40.7
SHB__EagleCreekDrEtc_v1_LS_f10710.png,SHB__EagleCreekDrEtc_v1_LS,SHB,18,10710,40.7
SHB__NWolfCreekorange_v1_LS_f8466.png,SHB__NWolfCreekorange_v1_LS,SHB,14,8466,40.6
SHW__NIron_v1_LS_f12072.png,SHW__NIron_v1_LS,SHW,23,12072,40.4
SHB__RedFoxLn_v1_LS_f72948.png,SHB__RedFoxLn_v1_LS,SHB,109,72948,40.0
SHW__LowerRichland_v1_LS_f23394.png,SHW__LowerRichland_v1_LS,SHW,63,23394,40.0
SHW__SIron_v1_LS_f6480.png,SHW__SIron_v1_LS,SHW,5,6480,39.8
SHW__NBassett_v1_LS_f19584.png,SHW__NBassett_v1_LS,SHW,42,19584,39.7
SHW__NBassett_v1_LS_f24348.png,SHW__NBassett_v1_LS,SHW,55,24348,39.6
SHB__EagleCreekDrEtc_v1_LS_f17226.png,SHB__EagleCreekDrEtc_v1_LS,SHB,21,17226,39.5
SHW__HogThief_v1_LS_f2460.png,SHW__HogThief_v1_LS,SHW,5,2460,39.5
SHB__OverlookDr_v1_LS_f20964.png,SHB__OverlookDr_v1_LS,SHB,30,20964,39.2
SHB__RedFoxLn_v1_LS_f6156.png,SHB__RedFoxLn_v1_LS,SHB,9,6156,39.2
MAS__WMarseilles_v2_LS_f14610.png,MAS__WMarseilles_v2_LS,MAS,21,14610,39.1
SHB__WolfCreekRd_v1_LS_f7452.png,SHB__WolfCreekRd_v1_LS,SHB,15,7452,38.9
SHB__EagleCreekDrEtc_v1_LS_f1218.png,SHB__EagleCreekDrEtc_v1_LS,SHB,3,1218,38.8
SHW__NBassett_v1_LS_f7854.png,SHW__NBassett_v1_LS,SHW,19,7854,38.8
SHW__Robinson_v1_LS_f13158.png,SHW__Robinson_v1_LS,SHW,29,13158,38.8
SHB__NWolfCreekorange_v1_LS_f90.png,SHB__NWolfCreekorange_v1_LS,SHB,0,90,38.7
MAS__EMarseilles_v1_LS_f13866.png,MAS__EMarseilles_v1_LS,MAS,5,13866,38.3
MAS__N25thBlue_v2_LS_f14478.png,MAS__N25thBlue_v2_LS,MAS,14,14478,38.3
MAS__WMarseilles_v2_LS_f19956.png,MAS__WMarseilles_v2_LS,MAS,23,19956,38.3
SHB__RedFoxLn_v1_LS_f50472.png,SHB__RedFoxLn_v1_LS,SHB,74,50472,38.3
SHB__WolfCreekRd_v1_LS_f5094.png,SHB__WolfCreekRd_v1_LS,SHB,9,5094,38.3
SHB__NWolfCreekblue_v1_LS_f16122.png,SHB__NWolfCreekblue_v1_LS,SHB,44,16122,38.2
SHW__LowerRichland_v1_LS_f30720.png,SHW__LowerRichland_v1_LS,SHW,81,30720,38.1
SHW__Robinson_v1_LS_f10182.png,SHW__Robinson_v1_LS,SHW,22,10182,38.1
MAS__N25thBlue_v2_LS_f18348.png,MAS__N25thBlue_v2_LS,MAS,17,18348,38.0
SHB__RedFoxLn_v1_LS_f26976.png,SHB__RedFoxLn_v1_LS,SHB,47,26976,38.0
SHB__NWolfCreekblue_v1_LS_f40002.png,SHB__NWolfCreekblue_v1_LS,SHB,87,40002,37.8
SHB__RedFoxLn_v1_LS_f86832.png,SHB__RedFoxLn_v1_LS,SHB,137,86832,37.8
SHW__PleasantHick_v1_LS_f65136.png,SHW__PleasantHick_v1_LS,SHW,143,65136,37.8
MAS__WMarseilles_v2_LS_f1578.png,MAS__WMarseilles_v2_LS,MAS,0,1578,37.6
SHW__NBassett_v1_LS_f5304.png,SHW__NBassett_v1_LS,SHW,14,5304,37.6
SHW__LowerRichland_v1_LS_f25866.png,SHW__LowerRichland_v1_LS,SHW,71,25866,37.4
SHW__LowerRichland_v1_LS_f29676.png,SHW__LowerRichland_v1_LS,SHW,77,29676,37.3
SHW__LowerRichland_v1_LS_f46938.png,SHW__LowerRichland_v1_LS,SHW,131,46938,37.2
SHB__NShelbyRdpink_v1_LS_f3852.png,SHB__NShelbyRdpink_v1_LS,SHB,9,3852,37.1
SHB__NShelbyRdblue_v1_LS_f10140.png,SHB__NShelbyRdblue_v1_LS,SHB,18,10140,36.9
SHB__RedFoxLn_v1_LS_f29160.png,SHB__RedFoxLn_v1_LS,SHB,51,29160,36.9
SHW__SIron_v1_LS_f13602.png,SHW__SIron_v1_LS,SHW,16,13602,36.9
TON__Upper40_v1_LS_f3042.png,TON__Upper40_v1_LS,TON,8,3042,36.9
SHW__WhoopieCatDam_v1_LS_f5394.png,SHW__WhoopieCatDam_v1_LS,SHW,12,5394,36.8
TON__OikosRd_v1_LS_f7824.png,TON__OikosRd_v1_LS,TON,13,7824,36.7
MAS__WMarseilles_v1_LS_f13806.png,MAS__WMarseilles_v1_LS,MAS,19,13806,36.6
SHB__WolfCreekRd_v1_LS_f7896.png,SHB__WolfCreekRd_v1_LS,SHB,16,7896,36.6
SHW__HogThief_v1_LS_f4326.png,SHW__HogThief_v1_LS,SHW,6,4326,36.6
SHB__NShelbyRdblue_v1_LS_f9390.png,SHB__NShelbyRdblue_v1_LS,SHB,15,9390,36.4
SHB__RedFoxLn_v1_LS_f20034.png,SHB__RedFoxLn_v1_LS,SHB,33,20034,36.4
SHW__LowerRichland_v1_LS_f49590.png,SHW__LowerRichland_v1_LS,SHW,134,49590,36.3
TON__GiantCityRd_v1_LS_f5796.png,TON__GiantCityRd_v1_LS,TON,15,5796,36.3
MAS__EMarseilles_v1_LS_f3696.png,MAS__EMarseilles_v1_LS,MAS,1,3696,36.2
SHW__Melvin_v1_LS_f1080.png,SHW__Melvin_v1_LS,SHW,0,1080,36.2
MAS__WMarseilles_v1_LS_f12528.png,MAS__WMarseilles_v1_LS,MAS,18,12528,36.1
MAS__N25thBlue_v2_LS_f11274.png,MAS__N25thBlue_v2_LS,MAS,10,11274,36.1
SHB__NWolfCreekblue_v1_LS_f582.png,SHB__NWolfCreekblue_v1_LS,SHB,1,582,36.1
SHW__NIron_v1_LS_f8526.png,SHW__NIron_v1_LS,SHW,20,8526,36.1
SHB__NShelbyRdblue_v1_LS_f9894.png,SHB__NShelbyRdblue_v1_LS,SHB,17,9894,36.0
SHW__UpperRichland_v1_LS_f30.png,SHW__UpperRichland_v1_LS,SHW,0,30,36.0
SHB__NWolfCreekorange_v1_LS_f2826.png,SHB__NWolfCreekorange_v1_LS,SHB,7,2826,35.9
SHW__Robinson_v1_LS_f3942.png,SHW__Robinson_v1_LS,SHW,9,3942,35.8
SHB__EagleCreekDrEtc_v1_LS_f9198.png,SHB__EagleCreekDrEtc_v1_LS,SHB,16,9198,35.7
SHW__NBassett_v1_LS_f29904.png,SHW__NBassett_v1_LS,SHW,59,29904,35.7
SHW__SIron_v1_LS_f10326.png,SHW__SIron_v1_LS,SHW,9,10326,35.7
MAS__WMarseilles_v1_LS_f4224.png,MAS__WMarseilles_v1_LS,MAS,4,4224,35.6
TON__Upper40_v1_LS_f4734.png,TON__Upper40_v1_LS,TON,14,4734,35.6
SHW__Melvin_v1_LS_f5400.png,SHW__Melvin_v1_LS,SHW,3,5400,35.5
TON__GiantCityRd_v1_LS_f1500.png,TON__GiantCityRd_v1_LS,TON,5,1500,35.5
SHB__RedFoxLn_v1_LS_f75918.png,SHB__RedFoxLn_v1_LS,SHB,115,75918,35.4
SHB__WolfCreekRd_v1_LS_f6486.png,SHB__WolfCreekRd_v1_LS,SHB,14,6486,35.3
SHW__NIron_v1_LS_f3786.png,SHW__NIron_v1_LS,SHW,8,3786,35.3
SHB__NShelbyRdpink_v1_LS_f7164.png,SHB__NShelbyRdpink_v1_LS,SHB,14,7164,35.2
SHW__LowerRichland_v1_LS_f21456.png,SHW__LowerRichland_v1_LS,SHW,55,21456,35.2
SHW__SIron_v1_LS_f13860.png,SHW__SIron_v1_LS,SHW,17,13860,35.2
SHW__SIron_v1_LS_f14670.png,SHW__SIron_v1_LS,SHW,19,14670,35.2
SHW__LowerRichland_v1_LS_f5484.png,SHW__LowerRichland_v1_LS,SHW,8,5484,35.1
SHW__LowerRichland_v1_LS_f46116.png,SHW__LowerRichland_v1_LS,SHW,127,46116,35.1
SHW__LowerRichland_v1_LS_f5748.png,SHW__LowerRichland_v1_LS,SHW,9,5748,35.0
SHB__EagleCreekDrEtc_v1_LS_f11286.png,SHB__EagleCreekDrEtc_v1_LS,SHB,19,11286,34.9
SHB__RedFoxLn_v1_LS_f25056.png,SHB__RedFoxLn_v1_LS,SHB,44,25056,34.9
SHW__PleasantHick_v1_LS_f12948.png,SHW__PleasantHick_v1_LS,SHW,28,12948,34.9
SHB__EagleCreekDrEtc_v1_LS_f17490.png,SHB__EagleCreekDrEtc_v1_LS,SHB,22,17490,34.8
SHW__LowerRichland_v1_LS_f31470.png,SHW__LowerRichland_v1_LS,SHW,82,31470,34.8
SHW__SBassett_v1_LS_f5604.png,SHW__SBassett_v1_LS,SHW,11,5604,34.8
TON__Upper40_v1_LS_f2442.png,TON__Upper40_v1_LS,TON,4,2442,34.8
SHW__LowerRichland_v1_LS_f44538.png,SHW__LowerRichland_v1_LS,SHW,123,44538,34.7
SHW__PleasantHick_v1_LS_f33564.png,SHW__PleasantHick_v1_LS,SHW,73,33564,34.7
SHW__PleasantHick_v1_LS_f35232.png,SHW__PleasantHick_v1_LS,SHW,76,35232,34.7
SHW__PleasantHick_v1_LS_f54054.png,SHW__PleasantHick_v1_LS,SHW,115,54054,34.7
MAS__WMarseilles_v2_LS_f9552.png,MAS__WMarseilles_v2_LS,MAS,17,9552,34.6
SHW__PleasantHick_v1_LS_f47628.png,SHW__PleasantHick_v1_LS,SHW,101,47628,34.6
SHW__WhoopieCatDam_v1_LS_f2874.png,SHW__WhoopieCatDam_v1_LS,SHW,6,2874,34.6
MAS__EMarseilles_v2_LS_f2820.png,MAS__EMarseilles_v2_LS,MAS,10,2820,34.5
SHB__EagleCreekDrEtc_v1_LS_f5190.png,SHB__EagleCreekDrEtc_v1_LS,SHB,9,5190,34.3
SHW__Robinson_v1_LS_f12756.png,SHW__Robinson_v1_LS,SHW,28,12756,34.2
