video,site,track_id,count,touches_n_deer,n_frames,span_s,mean_conf,topk_conf,mean_box_px
AquaCultureRd_TON_12.03.25_LS,TON,2132,0,0,3,0.12,0.0331,0.0331,2052.6
AquaCultureRd_TON_12.03.25_LS,TON,2133,0,0,1,0.02,0.0695,0.0695,793.5
AquaCultureRd_TON_12.03.25_LS,TON,2134,0,0,1,0.02,0.0214,0.0214,486.1
AquaCultureRd_TON_12.03.25_LS,TON,2135,0,0,1,0.02,0.0594,0.0594,1307.0
AquaCultureRd_TON_12.03.25_LS,TON,2136,0,0,1,0.02,0.0687,0.0687,519.5
AquaCultureRd_TON_12.03.25_LS,TON,2137,0,0,1,0.02,0.3476,0.3476,1424.2
AquaCultureRd_TON_12.03.25_LS,TON,2138,0,0,1,0.02,0.0679,0.0679,836.7
AquaCultureRd_TON_12.03.25_LS,TON,2139,0,0,2,0.03,0.1692,0.1692,2789.8
AquaCultureRd_TON_12.03.25_LS,TON,2140,0,0,1,0.02,0.0359,0.0359,1027.4
AquaCultureRd_TON_12.03.25_LS,TON,2141,0,0,1,0.02,0.0383,0.0383,905.7
AquaCultureRd_TON_12.03.25_LS,TON,2142,0,0,1,0.02,0.068,0.068,2087.3
AquaCultureRd_TON_12.03.25_LS,TON,2143,0,0,1,0.02,0.0347,0.0347,1353.4
AquaCultureRd_TON_12.03.25_LS,TON,2144,0,0,1,0.02,0.2102,0.2102,1011.7
AquaCultureRd_TON_12.03.25_LS,TON,2145,0,0,4,0.07,0.0917,0.0917,949.1
AquaCultureRd_TON_12.03.25_LS,TON,2146,0,0,1,0.02,0.0677,0.0677,626.8
AquaCultureRd_TON_12.03.25_LS,TON,2147,0,0,1,0.02,0.024,0.024,776.6
AquaCultureRd_TON_12.03.25_LS,TON,2148,0,0,2,0.08,0.044,0.044,2597.5
AquaCultureRd_TON_12.03.25_LS,TON,2149,0,0,1,0.02,0.0624,0.0624,664.0
AquaCultureRd_TON_12.03.25_LS,TON,2150,0,0,13,0.83,0.0334,0.049,853.0
AquaCultureRd_TON_12.03.25_LS,TON,2151,0,0,2,0.3,0.0356,0.0356,1225.6
AquaCultureRd_TON_12.03.25_LS,TON,2152,0,0,6,0.45,0.0286,0.0302,977.9
AquaCultureRd_TON_12.03.25_LS,TON,2153,0,0,4,0.15,0.0302,0.0302,1151.5
AquaCultureRd_TON_12.03.25_LS,TON,2154,0,0,1,0.02,0.0795,0.0795,694.8
AquaCultureRd_TON_12.03.25_LS,TON,2155,0,0,1,0.02,0.0248,0.0248,918.8
AquaCultureRd_TON_12.03.25_LS,TON,2156,0,0,4,0.07,0.0484,0.0484,747.6
AquaCultureRd_TON_12.03.25_LS,TON,2157,0,0,2,0.03,0.0529,0.0529,691.7
AquaCultureRd_TON_12.03.25_LS,TON,2158,0,0,1,0.02,0.0217,0.0217,749.5
AquaCultureRd_TON_12.03.25_LS,TON,2159,0,0,1,0.02,0.027,0.027,649.9
AquaCultureRd_TON_12.03.25_LS,TON,2160,0,0,1,0.02,0.032,0.032,1117.4
AquaCultureRd_TON_12.03.25_LS,TON,2161,0,0,1,0.02,0.0332,0.0332,746.9
AquaCultureRd_TON_12.03.25_LS,TON,2162,0,0,2,0.42,0.0389,0.0389,993.3
AquaCultureRd_TON_12.03.25_LS,TON,2163,0,0,3,0.58,0.0702,0.0702,1397.4
AquaCultureRd_TON_12.03.25_LS,TON,2164,0,0,1,0.02,0.0217,0.0217,827.2
AquaCultureRd_TON_12.03.25_LS,TON,2165,0,0,2,0.02,0.0492,0.0492,999.9
AquaCultureRd_TON_12.03.25_LS,TON,2166,0,0,2,0.05,0.0367,0.0367,1006.2
AquaCultureRd_TON_12.03.25_LS,TON,2167,0,0,2,0.03,0.0296,0.0296,1040.3
AquaCultureRd_TON_12.03.25_LS,TON,2168,0,0,12,0.38,0.0277,0.0337,950.3
AquaCultureRd_TON_12.03.25_LS,TON,2169,0,0,1,0.02,0.0223,0.0223,843.5
AquaCultureRd_TON_12.03.25_LS,TON,2170,0,0,1,0.02,0.0228,0.0228,813.4
AquaCultureRd_TON_12.03.25_LS,TON,2171,0,0,3,0.05,0.0761,0.0761,941.2
AquaCultureRd_TON_12.03.25_LS,TON,2172,0,0,2,0.05,0.1817,0.1817,3104.5
AquaCultureRd_TON_12.03.25_LS,TON,2173,0,0,1,0.02,0.0306,0.0306,910.0
AquaCultureRd_TON_12.03.25_LS,TON,2174,0,0,1,0.02,0.0518,0.0518,1243.2
AquaCultureRd_TON_12.03.25_LS,TON,2175,0,0,1,0.02,0.0936,0.0936,465.2
AquaCultureRd_TON_12.03.25_LS,TON,2176,0,0,1,0.02,0.1454,0.1454,996.2
AquaCultureRd_TON_12.03.25_LS,TON,2177,0,0,2,0.45,0.0886,0.0886,670.0
AquaCultureRd_TON_12.03.25_LS,TON,2178,0,0,1,0.02,0.0402,0.0402,1087.8
AquaCultureRd_TON_12.03.25_LS,TON,2179,0,0,1,0.02,0.0212,0.0212,761.4
AquaCultureRd_TON_12.03.25_LS,TON,2180,0,0,5,0.2,0.0374,0.0374,828.6
AquaCultureRd_TON_12.03.25_LS,TON,2181,0,0,1,0.02,0.0254,0.0254,512.0
AquaCultureRd_TON_12.03.25_LS,TON,2182,0,0,9,0.55,0.0313,0.0397,641.5
AquaCultureRd_TON_12.03.25_LS,TON,2183,0,0,11,0.32,0.0696,0.1174,604.7
AquaCultureRd_TON_12.03.25_LS,TON,2184,0,0,3,0.05,0.0374,0.0374,271.2
AquaCultureRd_TON_12.03.25_LS,TON,2185,0,0,1,0.02,0.0263,0.0263,440.8
AquaCultureRd_TON_12.03.25_LS,TON,2186,0,0,1,0.02,0.0277,0.0277,546.5
AquaCultureRd_TON_12.03.25_LS,TON,2187,0,0,4,0.88,0.0246,0.0246,253.4
AquaCultureRd_TON_12.03.25_LS,TON,2188,0,0,5,0.05,0.1495,0.1495,533.7
AquaCultureRd_TON_12.03.25_LS,TON,2189,0,0,6,0.63,0.0352,0.0381,1384.5
AquaCultureRd_TON_12.03.25_LS,TON,2190,0,0,2,0.03,0.0282,0.0282,152.6
AquaCultureRd_TON_12.03.25_LS,TON,2191,0,0,3,0.1,0.0231,0.0231,500.5
AquaCultureRd_TON_12.03.25_LS,TON,2192,0,0,2,0.03,0.0312,0.0312,970.8
AquaCultureRd_TON_12.03.25_LS,TON,2193,0,0,8,0.05,0.0421,0.0522,506.5
AquaCultureRd_TON_12.03.25_LS,TON,2194,0,0,1,0.02,0.0318,0.0318,359.3
AquaCultureRd_TON_12.03.25_LS,TON,2195,0,0,4,0.13,0.0359,0.0359,593.5
AquaCultureRd_TON_12.03.25_LS,TON,2196,0,0,5,0.02,0.0359,0.0359,605.3
AquaCultureRd_TON_12.03.25_LS,TON,2197,0,0,7,0.08,0.0659,0.0815,429.9
AquaCultureRd_TON_12.03.25_LS,TON,2198,0,0,3,0.08,0.031,0.031,729.4
AquaCultureRd_TON_12.03.25_LS,TON,2199,0,0,19,0.13,0.0602,0.1316,580.9
AquaCultureRd_TON_12.03.25_LS,TON,2200,0,0,2,0.03,0.039,0.039,444.4
AquaCultureRd_TON_12.03.25_LS,TON,2201,0,0,5,0.13,0.1615,0.1615,731.1
AquaCultureRd_TON_12.03.25_LS,TON,2202,0,0,20,1.3,0.0442,0.088,1329.2
AquaCultureRd_TON_12.03.25_LS,TON,2203,0,0,1,0.02,0.0269,0.0269,439.6
AquaCultureRd_TON_12.03.25_LS,TON,2204,0,0,3,0.05,0.0212,0.0212,716.9
AquaCultureRd_TON_12.03.25_LS,TON,2205,0,0,2,0.03,0.0237,0.0237,360.4
AquaCultureRd_TON_12.03.25_LS,TON,2206,0,0,7,0.03,0.0355,0.0405,221.7
AquaCultureRd_TON_12.03.25_LS,TON,2207,0,0,8,1.23,0.0413,0.0528,593.3
AquaCultureRd_TON_12.03.25_LS,TON,2208,0,0,1,0.02,0.0305,0.0305,1053.3
AquaCultureRd_TON_12.03.25_LS,TON,2209,0,0,2,0.35,0.0285,0.0285,1321.5
AquaCultureRd_TON_12.03.25_LS,TON,2210,0,0,1,0.02,0.0484,0.0484,590.0
AquaCultureRd_TON_12.03.25_LS,TON,2211,0,0,1,0.02,0.0214,0.0214,233.8
AquaCultureRd_TON_12.03.25_LS,TON,2212,0,0,1,0.02,0.0263,0.0263,393.8
AquaCultureRd_TON_12.03.25_LS,TON,2213,0,0,4,0.62,0.0268,0.0268,826.0
AquaCultureRd_TON_12.03.25_LS,TON,2214,0,0,65,2.59,0.1245,0.4913,833.9
AquaCultureRd_TON_12.03.25_LS,TON,2215,0,0,5,0.45,0.0382,0.0382,606.6
AquaCultureRd_TON_12.03.25_LS,TON,2216,0,0,3,0.03,0.0334,0.0334,444.7
AquaCultureRd_TON_12.03.25_LS,TON,2217,0,0,2,0.07,0.1037,0.1037,1323.4
AquaCultureRd_TON_12.03.25_LS,TON,2218,0,0,1,0.02,0.0202,0.0202,193.6
AquaCultureRd_TON_12.03.25_LS,TON,2219,0,0,11,0.63,0.0817,0.1445,923.9
AquaCultureRd_TON_12.03.25_LS,TON,2220,0,0,4,0.07,0.0527,0.0527,529.3
AquaCultureRd_TON_12.03.25_LS,TON,2221,0,0,1,0.02,0.0315,0.0315,727.1
AquaCultureRd_TON_12.03.25_LS,TON,2222,0,0,1,0.02,0.0229,0.0229,186.2
AquaCultureRd_TON_12.03.25_LS,TON,2223,0,0,2,0.03,0.0946,0.0946,768.8
AquaCultureRd_TON_12.03.25_LS,TON,2224,0,0,1,0.02,0.0927,0.0927,2245.6
AquaCultureRd_TON_12.03.25_LS,TON,2225,0,0,3,0.7,0.0345,0.0345,1317.9
AquaCultureRd_TON_12.03.25_LS,TON,2226,0,0,1,0.02,0.0216,0.0216,1135.7
AquaCultureRd_TON_12.03.25_LS,TON,2227,0,0,2,0.4,0.0308,0.0308,874.8
AquaCultureRd_TON_12.03.25_LS,TON,2228,0,0,4,0.07,0.2104,0.2104,1737.5
AquaCultureRd_TON_12.03.25_LS,TON,2229,0,0,2,0.52,0.0382,0.0382,647.4
AquaCultureRd_TON_12.03.25_LS,TON,2230,0,0,5,0.4,0.0386,0.0386,1114.0
AquaCultureRd_TON_12.03.25_LS,TON,2231,0,0,1,0.02,0.0215,0.0215,607.0
AquaCultureRd_TON_12.03.25_LS,TON,2232,0,0,1,0.02,0.0323,0.0323,910.8
AquaCultureRd_TON_12.03.25_LS,TON,2233,0,0,1,0.02,0.0362,0.0362,723.8
AquaCultureRd_TON_12.03.25_LS,TON,2234,0,0,1,0.02,0.0512,0.0512,557.9
AquaCultureRd_TON_12.03.25_LS,TON,2235,0,0,2,0.02,0.1015,0.1015,1359.7
AquaCultureRd_TON_12.03.25_LS,TON,2236,0,0,2,0.03,0.0738,0.0738,762.0
AquaCultureRd_TON_12.03.25_LS,TON,2237,0,0,2,0.1,0.03,0.03,717.8
AquaCultureRd_TON_12.03.25_LS,TON,2238,0,0,2,0.13,0.0352,0.0352,682.7
AquaCultureRd_TON_12.03.25_LS,TON,2239,0,0,1,0.02,0.0325,0.0325,1993.4
AquaCultureRd_TON_12.03.25_LS,TON,2240,0,0,14,0.97,0.1037,0.1578,560.1
AquaCultureRd_TON_12.03.25_LS,TON,2241,0,0,34,0.82,0.1995,0.4456,501.4
AquaCultureRd_TON_12.03.25_LS,TON,2242,0,0,3,0.05,0.1699,0.1699,1223.3
