video,key,site,transect,visit,date,side,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,5,2514,2604,41.9,43.4,1.5,6,2562,23.8,0,439,331,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,6,2706,7782,45.1,129.7,84.6,793,6570,58.1,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,7,7866,8412,131.1,140.2,9.1,63,8130,27.3,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,8,8484,13248,141.4,220.8,79.4,701,11622,41.8,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,9,13398,13584,223.3,226.4,3.1,12,13446,29.9,0,124,621,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,10,13680,13722,228.0,228.7,0.7,3,13680,21.1,0,507,378,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,11,13824,13896,230.4,231.6,1.2,6,13860,21.8,8,319,633,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,12,14244,14286,237.4,238.1,0.7,3,14286,21.1,26,102,620,314
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,13,14364,14826,239.4,247.1,7.7,55,14502,32.8,0,180,626,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,14,14976,15384,249.6,256.4,6.8,58,15012,28.7,0,351,640,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,0,12,108,0.2,1.8,1.6,11,18,23.6,513,485,640,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,1,300,360,5.0,6.0,1.0,5,330,22.9,163,507,609,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,2,498,504,8.3,8.4,0.1,2,498,28.2,455,302,528,307
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,3,576,750,9.6,12.5,2.9,11,732,22.0,83,275,635,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,4,846,888,14.1,14.8,0.7,7,888,29.5,35,478,593,508
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,5,1680,1698,28.0,28.3,0.3,4,1698,22.8,273,470,565,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,6,2490,2850,41.5,47.5,6.0,29,2802,27.6,0,7,640,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,7,2922,6174,48.7,102.9,54.2,421,5652,40.8,0,0,640,512
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,8,6276,7806,104.6,130.1,25.5,218,7782,54.8,0,0,640,512
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,0,0,12690,0.0,211.5,211.5,1921,4302,44.8,0,0,640,512
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,1,12804,14148,213.4,235.8,22.4,128,13032,43.6,0,0,640,512
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,2,14364,15132,239.4,252.2,12.8,63,14748,25.3,0,66,640,512
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,3,15348,15360,255.8,256.0,0.2,2,15348,20.1,0,142,347,408
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,4,15516,16182,258.6,269.7,11.1,86,16182,28.1,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,0,0,3024,0.0,50.43,50.43,478,1644,42.8,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,1,3084,3726,51.43,62.14,10.71,94,3366,31.2,0,16,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,2,3786,3870,63.14,64.54,1.4,5,3846,25.2,12,205,596,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,3,3960,3990,66.04,66.54,0.5,3,3966,23.2,30,179,117,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,4,4098,5862,68.34,97.76,29.42,244,4224,35.6,0,62,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,5,5922,7572,98.76,126.28,27.52,209,7434,30.8,0,0,640,512
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,6,7674,7716,127.98,128.68,0.7,3,7686,19.7,118,467,593,512
