video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,1265,5671,5672,94.59,94.61,2,0.03,0.102,0.102,325.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1293,7908,7908,131.91,131.91,1,0.02,0.1012,0.1012,544.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1240,2924,2924,48.77,48.77,1,0.02,0.1002,0.1002,420.3,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1511,15188,15275,253.17,254.62,88,1.47,0.8234,0.8812,3743.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1805,19296,19353,321.64,322.59,57,0.97,0.7589,0.8805,4259.1,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1797,19228,19315,320.51,321.96,88,1.47,0.7973,0.8521,3998.1,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,441,8489,8539,141.5,142.33,51,0.85,0.7442,0.8488,2552.6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1513,15279,15384,254.68,256.43,106,1.77,0.795,0.8458,1690.1,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,444,8514,8564,141.92,142.75,51,0.85,0.775,0.8313,2512.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1791,19157,19290,319.32,321.54,134,2.23,0.7319,0.8279,3150.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1509,15154,15238,252.6,254.0,85,1.42,0.7947,0.8267,1837.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1517,15316,15440,255.3,257.37,124,2.08,0.7782,0.8186,1571.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,446,8521,8573,142.03,142.9,53,0.88,0.7381,0.8172,3928.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,448,8542,8573,142.38,142.9,32,0.53,0.7344,0.8129,3324.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,442,8499,8553,141.67,142.57,54,0.92,0.727,0.79,2585.9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,571,9676,9863,161.29,164.4,175,3.13,0.7026,0.7839,980.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,439,8452,8506,140.88,141.78,52,0.92,0.7437,0.7828,1345.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2176,21425,21479,357.13,358.03,45,0.92,0.6458,0.7788,660.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1897,20781,20842,346.39,347.41,51,1.03,0.6002,0.7785,1049.1,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,3222,2229,2250,37.15,37.5,21,0.37,0.6931,0.7784,2125.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,538,9452,9795,157.55,163.27,309,5.73,0.6199,0.7744,757.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,254,1117,1241,18.62,20.69,124,2.08,0.6605,0.7741,1184.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,535,9403,9449,156.74,157.5,47,0.78,0.7376,0.7735,676.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2187,21518,21561,358.68,359.4,44,0.73,0.6624,0.7724,519.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1523,15581,15705,259.72,261.78,98,2.08,0.7099,0.7706,622.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2064,21149,21242,352.53,354.08,85,1.57,0.613,0.7691,896.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,926,12512,12624,208.56,210.43,81,1.88,0.5927,0.7682,767.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1097,12754,12795,212.59,213.28,40,0.7,0.6804,0.7651,850.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1258,13953,14085,232.58,234.78,129,2.22,0.6675,0.7614,490.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,601,9869,9976,164.5,166.29,94,1.8,0.6697,0.7611,1567.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,958,12543,12669,209.08,211.18,97,2.12,0.5831,0.7597,813.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1044,12664,12845,211.09,214.11,146,3.03,0.6386,0.7541,732.4,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1525,15587,15609,259.82,260.18,21,0.38,0.6285,0.7538,680.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2022,20988,21149,349.84,352.53,140,2.7,0.625,0.7455,449.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1192,13197,13287,219.98,221.48,79,1.52,0.4897,0.7436,561.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,945,12530,12614,208.86,210.26,69,1.42,0.6326,0.743,931.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,486,9330,9378,155.52,156.32,36,0.82,0.5966,0.7402,1206.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1114,12801,12826,213.38,213.79,20,0.43,0.5234,0.7222,803.6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1011,12627,12759,210.48,212.68,76,2.22,0.5471,0.7216,896.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,367,2423,2442,40.39,40.71,20,0.33,0.7019,0.7204,874.9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1135,12860,12989,214.36,216.51,72,2.17,0.5553,0.7203,669.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,490,9344,9364,155.75,156.09,17,0.35,0.5788,0.7166,831.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,840,12407,12491,206.81,208.21,70,1.42,0.5169,0.6995,940.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,872,12452,12535,207.56,208.94,53,1.4,0.5268,0.698,849.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1303,13992,14021,233.23,233.71,27,0.5,0.5285,0.6864,422.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,760,12325,12376,205.44,206.29,34,0.87,0.5012,0.6849,883.2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1846,20180,20212,336.38,336.91,23,0.55,0.5026,0.6849,1498.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2190,21610,21646,360.21,360.81,32,0.62,0.5082,0.6799,651.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1128,12828,12861,213.83,214.38,25,0.57,0.5284,0.6749,836.9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,814,12385,12407,206.44,206.81,15,0.38,0.5281,0.6741,823.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2084,21168,21205,352.84,353.46,27,0.63,0.528,0.673,446.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,744,12251,12272,204.21,204.56,19,0.37,0.5333,0.6709,839.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1601,16844,16863,280.77,281.09,15,0.33,0.5629,0.667,802.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,1966,20902,20938,348.41,349.01,32,0.62,0.5343,0.6555,497.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,2120,21263,21298,354.43,355.01,20,0.6,0.495,0.651,696.1,1
